ID,Name,Epoch,a,e,i,w,Node,M,q,Q,P,H,MOID,ref,class,ID2,Name2
2009,WO8,55156,1.55324189,0.350032561,8.2541267,194.4048549,237.6653305,353.9746243,1.0096,2.10,1.94,27.20,0.028196,6,APO,2009,WO8
2009,WB11,55157,1.72896673,0.472894580,3.9386512,306.2332923,58.4839314,19.5817797,0.9113,2.55,2.27,25.40,0.014092,7,APO,2009,WB11
2009,WC11,57400,2.39888658,0.498049254,2.3440843,342.0878449,73.0060828,237.4719933,1.2041,3.59,3.72,22.10,0.215234,12,AMO,2009,WC11
2009,WD11,57400,1.06643961,0.408211493,11.6486839,127.4369735,65.3870163,123.1513181,0.6311,1.50,1.10,22.00,0.074605,20,APO,2009,WD11
2009,WN25,57400,3.26903258,0.662780603,71.9855147,180.9104594,232.0859653,13.5371028,1.1024,5.44,5.91,18.40,0.112556,31,AMO,2009,WN25
2009,WP25,57400,1.39799462,0.772511212,27.5330343,28.9900324,245.2476700,298.4506772,0.3180,2.48,1.65,19.60,0.202532,24,APO,2009,WP25
2009,WQ25,55158,2.47807995,0.718400590,4.4572396,286.2987367,44.7643925,14.4556463,0.6978,4.26,3.90,23.90,0.000884,8,APO,2009,WQ25
2009,WR25,57400,0.86749860,0.480893263,31.7192645,31.3378850,238.2379272,323.8758066,0.4503,1.28,0.81,21.60,0.103894,16,ATE,2009,WR25
2009,WS25,57400,1.19638259,0.152100755,14.7673247,218.8552653,239.4353969,219.8250775,1.0144,1.38,1.31,25.10,0.054460,5,APO,2009,WS25
2009,WT25,57400,2.26422930,0.459639091,5.4118241,172.6945767,248.2343028,289.3851391,1.2235,3.30,3.41,23.10,0.235890,9,AMO,2009,WT25
2009,WU25,57400,2.41570639,0.601134929,5.4073163,331.2620419,60.7374919,234.3977086,0.9635,3.87,3.75,25.00,0.010039,5,APO,2009,WU25
2009,WV25,57400,1.40075238,0.426869891,0.4123201,155.0190559,341.8929126,218.9888985,0.8028,2.00,1.66,24.00,0.005240,32,APO,2009,WV25
2009,WW25,57400,1.97712153,0.453272821,1.4825907,156.0687886,269.2401987,70.4422461,1.0809,2.87,2.78,20.70,0.094395,19,AMO,2009,WW25
2009,WV51,57400,1.16663042,0.432688064,8.4473670,95.7300588,62.1304101,266.4259489,0.6618,1.67,1.26,27.10,0.001115,7,APO,2009,WV51
2009,WY51,55161,2.61696727,0.711340198,11.8134736,87.1457864,249.3377627,15.5090771,0.7554,4.48,4.23,21.80,0.066463,9,APO,2009,WY51
2009,WZ51,55158,2.36695357,0.577730788,8.9269428,337.4498324,57.7560813,5.5492970,0.9995,3.73,3.64,25.40,0.030069,5,APO,2009,WZ51
2009,WA52,55160,1.80249745,0.475852413,1.7903419,214.0009236,253.3995249,345.0343454,0.9448,2.66,2.42,26.30,0.002578,7,APO,2009,WA52
2009,WB52,55158,1.70041330,0.373519823,11.9904058,16.0365405,57.5003590,354.4487570,1.0653,2.34,2.22,25.70,0.085484,5,AMO,2009,WB52
2009,WC52,57400,2.52619757,0.554927870,7.1353790,149.0484919,178.6897786,222.6537204,1.1243,3.93,4.02,18.50,0.127665,11,AMO,2009,WC52
2009,WD52,55159,1.31415245,0.225830260,30.2119474,326.8894831,61.6019374,20.8232868,1.0174,1.61,1.51,24.90,0.059842,6,AMO,2009,WD52
